PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
2	3K-IRRI	IRGC 125907	SUWEON 311::IRGC 61890-1	IRGC 61890	Korea, Republic of				IRIS 313-10000	ind1B
3	3K-IRRI	IRGC 125692	C 662083::IRGC 62101-1	IRGC 62101	Taiwan				IRIS 313-10001	ind1B
4	3K-IRRI	IRGC 125955	BW 295-5::IRGC 63098-1	IRGC 63098	Sri Lanka				IRIS 313-10002	ind1B
5	3K-IRRI	IRGC 125749	GARURA::IRGC 64111-1	IRGC 64111	Nepal				IRIS 313-10007	indx
6	3K-IRRI	IRGC 125818	LALKA (LAL DHAN)::IRGC 64946-1	IRGC 64946	Fiji				IRIS 313-10010	ind2
7	3K-IRRI	IRGC 125898	SANT ANDREA::IRGC 65732-1	IRGC 65732	Italy				IRIS 313-10014	temp
8	3K-IRRI	IRGC 125954	BOHOTO BALOOCHESTAN::IRGC 66237-1	IRGC 66237	Iran				IRIS 313-10016	indx
9	RDP2, 3K-IRRI	IRGC 120968	HODARAWALA::IRGC 67631-1	IRGC 67631	Sri Lanka				IRIS 313-10020	aus
10	3K-IRRI	IRGC 125790	KALAPATLE::IRGC 68500-1	IRGC 68500	Madagascar				IRIS 313-10025	admix
11	3K-IRRI	IRGC 125804	KITRANA 1007::IRGC 68517-1	IRGC 68517	Madagascar				IRIS 313-10026	ind2
12	3K-IRRI	IRGC 121075	NS 252::IRGC 68878-1	IRGC 68878	Madagascar				IRIS 313-10030	ind2
13	3K-IRRI	IRGC 125858	NS 1576::IRGC 68951-1	IRGC 68951	Madagascar				IRIS 313-10032	aro
14	3K-IRRI	IRGC 125886	RIZ INDETERMINE::IRGC 69014-1	IRGC 69014	Niger				IRIS 313-10034	indx
15	3K-IRRI	IRGC 125887	RIZ TYPE SORGHO::IRGC 69015-1	IRGC 69015	Madagascar				IRIS 313-10035	ind2
16	3K-IRRI	IRGC 125840	MILYANG 77::IRGC 69340-1	IRGC 69340	Korea, Republic of				IRIS 313-10040	ind1B
17	3K-IRRI	IRGC 126049	BOTOHAVANA MENA::IRGC 69349-1	IRGC 69349	Madagascar				IRIS 313-10041	trop1
18	3K-IRRI	IRGC 125673	BANTA TIMA::IRGC 69474-1	IRGC 69474	Gambia				IRIS 313-10045	indx
19	3K-IRRI	IRGC 125958	CHAMA (DWARF)::IRGC 69487-1	IRGC 69487	Zambia				IRIS 313-10046	ind1B
20	3K-IRRI	IRGC 125737	EX MARABA GURUKU::IRGC 69582-1	IRGC 69582	Nigeria				IRIS 313-10047	ind1A
21	3K-IRRI	IRGC 125996	MOVE (MOKOLE)::IRGC 69739-1	IRGC 69739	Benin				IRIS 313-10048	indx
22	3K-IRRI	IRGC 127091	TSIMATAHOPAOSA::IRGC 69884-1	IRGC 69884	Madagascar				IRIS 313-10050	indx
23	3K-IRRI	IRGC 127067	TSIVIMBININA::IRGC 69890-1	IRGC 69890	Madagascar				IRIS 313-10051	trop1
