DNA UNIQUE ID	DNA Othername source
B001	Heibiao
B002	Sansuijin
B003	Zaoshengbai ?
B004	Qiuguangtengxi 104
B005	Wanshi
B006	Yikong
B007	Tianhandao
B008	Baxiang
B009	Vietnam Zaodao
B010	Malaihong
B011	
B012	
B013	Sri Lanka 1
B014	Wuziluosi 215
B015	Kahamu
B016	Aomierte 168
B017	Aerjituo
B018	American Huangkedao
B019	Buleida A-75
B020	Jineiyadao
B021	
B023	Gaoliqiu
B024	Xianluosichi
B025	
B026	
B027	
B028	
B029	
B030	
B031	
B032	
B033	
B034	Albania Rice
B035	American Rice
B036	
B037	
B038	
B039	
B040	
B043	
B044	Santiannuo
B045	Gongchengxiang
B046	Qiutianxiaoting
B047	Zhenfu 8
B048	
B049	Zacaodao 13
B051	
B052	
B053	
B054	
B055	
B056	Tieganwu
B057	Xiushui 115
B058	Erjiunan 1
B059	Nanjing 11
B060	Aijiaonante
B061	Guangluai 4
B062	Nantehao
B063	Guizhao 2
B064	Xiangzaoxian 7
B065	Huangsiguizhan
B066	Guangkexiangnuo
B067	Funingzipigengzi
B068	Gaoyangdiandao dahongmang
B069	Dandongludao
B070	Laoguangtou 83
B071	Muxiqiu
B072	Qiuqianbai
B073	Jinxibai2
B074	Taishannuo
B075	Jinbaoyin
B076	Minbeiwanxian
B077	Yizhixiang
B079	Esiniu
B081	Heidu 4
B082	Qiyuexian
B083	Dongtingwanxian
B084	Bawangbian 1
B085	Xugunuo
B086	Muguanuo
B087	Zhongnong 4
B088	San**Qishiluo
B089	Qitoubaigu3
B090	Zimi
B091	Xiaohonggu
B092	Gongju 73
B093	Qitougu
B094	Zinuo
B095	Mowangguneiza
B096	Jinzhinuo4
B097	Jiienuo
B100	Hongkezhenuo
B101	Yangkenuo
B102	Maguzi
B103	Laohongdao
B104	Jiabala
B105	Baoxuan 21
B106	Wenxiangnuo
B107	Dawannuo
B108	Xianggu
B109	Lengshuigu 2
B110	Huangpinuo
B111	Zimangfeie
B112	Liusha 1
B113	Chenwan 3
B114	Chengduai 3
B115	Aimakang
B116	Shufeng 101
B117	Lixingeng
B118	Ergangai
B119	Guangluai 15-1
B120	Hongwan 1
B121	Luke 3
B122	Liaogeng 287
B123	Zaoshuxiangheimi
B124	Geng 87-304
B125	Xiangwanxian 3
B126	Zaoxian 240
B127	Dangyu 5
B128	Sibeitizhao 6
B129	Hongainuo
B130	Wanlixian
B131	Aizizhan
B132	Xiaobaimi
B133	Yanshuichi
B134	Xishi 15
B135	Honggenghangu3
B136	Yuyannuo
B137	
B138	Gu 154
B139	
B140	Pei C122
B141	Geng 7623
B142	Ninghui 21
B143	
B144	Huhui 628
B145	Teqingxuanhui
B146	
B147	Baikehanhe
B148	Lengshuinuo
B149	Haoxiang
B150	
B151	Jinnante 43B
B152	Zaoshunonghu 6
B153	Qingsiai 16B
B154	Liming B
B155	Baoxie-7B
B156	G Zhenshan 97B
B157	
B158	Taizhong 65/taizhongHR539
B159	Taizhongzailai 1/taizhong65
B160	Shuiyuan 300Li
