FID	IID	DRB
1	4	0.0471
1	7	0.0123
1	13	0.0141
1	14	0.0442
1	17	0.0622
1	19	0.0151
1	21	0.0328
1	23	0.0094
1	250	0.0313
1	251	0.0225
1	252	0.0458
1	253	0.0152
1	254	0.0075
1	255	0.0094
1	256	0.0116
1	257	0.0129
1	259	0.0121
1	260	0.0218
1	261	0.0044
1	265	0.035
1	266	0.025
1	267	0.0181
1	268	0.0418
1	269	0.0356
1	270	0.0492
1	273	0.0222
1	275	0.0154
1	276	0.0285
1	277	0.0384
1	279	0.0118
1	280	0.0082
1	281	0.0221
1	282	0.0149
1	283	0.0014
1	284	0.0209
1	289	0.0227
1	290	0.0159
1	291	0.0122
1	292	0.0089
1	293	0.0164
1	294	0.0395
1	295	0.0155
1	296	0.0161
1	297	0.0674
1	298	0.0459
1	300	0.0215
1	301	0.0257
1	303	0.0451
1	304	0.0138
1	305	0.0054
1	306	0.0621
1	307	0.0738
1	308	0.0376
1	310	0.0285
1	311	0.0203
1	312	0.0307
1	314	0.0195
1	315	0.0211
1	319	0.0328
1	320	0.0239
1	321	0.0216
1	322	0.0287
1	323	0.0202
1	325	0.0218
1	327	0.0127
1	328	0.0159
1	331	0.0261
1	332	0.0047
1	334	0.0127
1	336	0.0263
1	339	0.04
1	340	0.0153
1	341	0.024
1	342	0.0521
1	343	0.0396
1	344	0.0293
1	345	0.0349
1	346	0.0231
1	347	0.0087
1	348	0.0048
1	349	0.0126
1	350	0.0255
1	351	0.0114
1	352	0.0369
1	353	0.029
1	354	0.0115
1	355	0.0155
1	356	0.0725
1	357	0.0409
1	358	0.0283
1	359	0.0046
1	360	0.0162
1	361	0.0334
1	362	0.0679
1	363	0.0093
1	365	0.06
1	367	0.055
1	368	0.0205
1	369	0.042
1	371	0.0417
1	372	0.0295
1	373	0.017
1	374	0.0355
1	375	0.0139
1	377	0.0222
1	379	0.017
1	380	0.0439
1	381	0.0109
1	382	0.0187
1	383	0.0074
1	384	0.0244
1	385	0.0065
1	387	0.0348
1	388	0.0192
1	389	0.0351
1	390	0.0115
1	391	0.0515
1	392	0.0493
1	393	0.0062
1	395	0.0115
1	397	0.0438
1	398	0.0121
1	399	0.0251
1	400	0.0126
1	401	0.0179
1	403	0.0158
1	404	0.0068
1	407	0.0294
1	409	0.0315
1	410	0.0089
1	412	0.0075
1	413	0.0462
1	414	0.0114
1	416	0.0183
1	417	0.008
1	418	0.0106
1	419	0.022
1	422	0.0168
1	424	0.0177
1	427	0.0007
1	428	0.0425
1	429	0.0463
1	430	0.0284
1	432	0.0527
1	433	0.0105
1	434	0.0112
1	435	0.0221
1	437	0.0113
1	438	0.026
1	439	0.0225
1	440	0.041
1	443	0.034
1	444	0.0294
1	445	0.0727
1	446	0.0148
1	447	0.0449
1	449	0.0264
1	452	0.0202
1	453	0.0034
1	454	0.0457
1	455	0.041
1	457	0.0298
1	458	0.0134
1	459	0.0095
1	749	0.0639
1	750	0.0684
1	999	0.0256
