Gene	Root	Stamen	Pistil	Leaf	Perisperm	Endosperm
Cc01t00010.1	4.0	0.0	0.0	12.4	0.7	0.8
Cc01t00020.1	5.6	3.4	2.1	4.8	6.8	5.8
Cc01t00030.1	27.3	2.4	7.7	17.4	8.8	10.4
Cc01t00040.1	1.8	96.6	126.5	0.6	1.0	0.9
Cc01t00050.1	75.3	28.9	965.3	42.0	1405.9	10.4
Cc01t00060.1	20.2	8.9	18.9	24.4	18.0	10.0
Cc01t00070.1	33.4	1.1	4.2	25.3	8.6	6.4
Cc01t00080.1	151.4	9.2	52.4	78.0	189.5	86.0
Cc01t00090.1	3.4	0.0	0.0	21.3	15.4	12.4
Cc01t00100.1	8.4	2.3	1.2	5.1	1.6	2.1
Cc01t00110.1	16.7	2.1	0.9	15.3	3.4	3.2
Cc01t00120.1	24.2	4.7	4.5	19.3	4.9	4.8
Cc01t00130.1	14.7	82.4	59.0	20.1	68.6	55.7
Cc01t00140.1	10.2	2.7	3.9	14.5	4.8	4.6
Cc01t00150.1	13.0	7.5	53.3	21.0	17.4	5.9
Cc01t00160.1	1.2	0.1	0.5	0.6	2.9	2.6
Cc01t00170.1	1.2	2.2	91.7	0.3	6.7	1.7
Cc01t00180.1	6.9	1.0	18.9	38.4	2.5	1.5
Cc01t00190.1	36.3	9.6	19.4	137.2	14.2	12.7
Cc01t00200.1	161.0	23.7	58.4	148.1	276.7	115.2
Cc01t00210.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t00220.1	43.8	0.7	11.4	32.1	5.1	2.9
Cc01t00230.1	2.3	3.5	0.1	0.2	0.3	0.3
Cc01t00240.1	36.3	12.6	20.3	25.5	23.8	24.5
Cc01t00250.1	7.4	9.7	7.7	4.5	3.3	10.1
Cc01t00260.1	20.2	78.6	38.4	23.3	51.4	33.8
Cc01t00270.1	11.2	57.6	14.9	9.8	18.9	14.8
Cc01t00280.1	112.9	76.2	97.0	81.5	120.1	124.4
Cc01t00290.1	90.3	358.2	48.7	40.0	53.9	89.7
Cc01t00300.1	55.1	73.2	19.4	36.3	26.2	27.0
Cc01t00310.1	91.4	136.8	201.0	53.1	406.2	400.2
Cc01t00320.1	12.9	2.7	5.8	17.4	16.3	9.1
Cc01t00330.1	24.4	3.0	9.1	16.5	8.5	13.4
Cc01t00340.1	0.1	0.0	0.0	0.0	0.0	0.1
Cc01t00350.1	78.1	43.6	73.1	70.0	66.3	85.3
Cc01t00360.1	0.1	9717.4	0.3	0.3	1.7	0.2
Cc01t00370.1	3.5	22.1	42.0	1.2	1.1	0.7
Cc01t00380.1	27.1	2.7	45.5	12.8	48.9	3.8
Cc01t00390.1	3.1	0.1	0.0	6.9	0.2	0.2
Cc01t00400.1	0.0	30.2	0.0	0.0	0.8	1.9
Cc01t00410.1	0.4	19.5	14.8	0.9	1.8	1.9
Cc01t00420.1	3.9	0.0	0.2	10.1	0.3	0.3
Cc01t00430.1	2.6	0.0	0.2	8.0	0.1	0.1
Cc01t00440.1	2.0	0.1	0.3	5.0	0.3	0.2
Cc01t00450.1	106.1	16.2	16.6	276.6	9.3	7.7
Cc01t00460.1	6.8	0.6	0.7	6.4	0.0	0.2
Cc01t00470.1	1.3	0.0	0.3	4.4	0.6	0.5
Cc01t00480.1	24.2	12.6	6.7	81.9	3.1	3.4
Cc01t00490.1	0.5	0.2	0.5	0.6	0.0	0.1
Cc01t00500.1	1.5	0.3	1.7	1.5	4.8	4.9
Cc01t00510.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t00520.1	1.2	0.1	0.1	1.4	0.1	0.1
Cc01t00530.1	0.0	0.6	0.7	0.5	0.1	1.1
Cc01t00540.1	0.9	0.4	0.7	3.1	0.2	0.3
Cc01t00550.1	1.7	0.0	0.5	3.6	0.3	0.5
Cc01t00560.1	0.4	1.1	0.3	1.2	0.5	2.4
Cc01t00570.1	1.5	0.0	0.1	4.0	0.1	0.2
Cc01t00580.1	0.0	0.0	0.2	0.5	0.0	0.1
Cc01t00590.1	1.4	0.0	0.1	7.1	0.0	0.2
Cc01t00600.1	0.8	0.3	0.4	3.4	0.2	0.6
Cc01t00610.1	5.6	0.0	0.8	24.4	0.4	0.5
Cc01t00620.1	4.4	1.5	1.0	5.3	1.2	1.0
